Description_clean;total_sold;total_returned;sales_revenue;return_revenue;return_rate;anomaly_flag;impact_score
SET OF 4 NAPKIN CHARMS 3 KEYS;226;0;418,79;0,0;0,0;Normal;0,0
SET OF 4 NAPKIN CHARMS CROWNS;281;0;433,43;0,0;0,0;Normal;0,0
SET OF 4 NAPKIN CHARMS CUTLERY;985;0;2462,16;0,0;0,0;Normal;0,0
SET OF 4 NAPKIN CHARMS HEARTS;794;0;1907,11;0,0;0,0;Normal;0,0
SET OF 4 NAPKIN CHARMS INSTRUMENT;139;0;303,73;0,0;0,0;Normal;0,0
SET OF 4 NAPKIN CHARMS LEAVES;240;0;445,17;0,0;0,0;Normal;0,0
SET OF 4 NAPKIN CHARMS STARS;263;0;581,06;0,0;0,0;Normal;0,0
SET OF 4 PANTRY JELLY MOULDS;10812;54;14387,43;67,5;0,5;Normal;0,34
SET OF 4 PISTACHIO LOVEBIRD COASTER;476;24;553,8;18,96;5,04;Normal;0,96
SET OF 4 POLKADOT COASTERS;174;0;312,53;0,0;0,0;Normal;0,0
SET OF 4 POLKADOT PLACEMATS;158;0;764,91;0,0;0,0;Normal;0,0
SET OF 4 ROSE BOTANICAL CANDLES;831;0;1354,49;0,0;0,0;Normal;0,0
SET OF 4 SANTA PLACE SETTINGS;926;48;1186,95;60,0;5,18;Normal;3,11
SET OF 5 LUCKY CAT MAGNETS;1638;12;3554,63;24,96;0,73;Normal;0,18
SET OF 5 MINI GROCERY MAGNETS;1013;12;2149,93;24,96;1,18;Normal;0,29
SET OF 5 PANCAKE DAY MAGNETS;1135;12;2387,68;24,96;1,06;Normal;0,26
SET OF 6 3D KIT CARDS FOR KIDS;1129;0;1088,8;0,0;0,0;Normal;0,0
SET OF 6 CAKE CHOPSTICKS;509;0;814,48;0,0;0,0;Normal;0,0
SET OF 6 EASTER RAINBOW CHICKS;12;0;15,0;0,0;0,0;Normal;0,0
SET OF 6 FUNKY BEAKERS;527;0;1772,81;0,0;0,0;Normal;0,0
SET OF 6 GIRLS CELEBRATION CANDLES;378;0;481,45;0,0;0,0;Normal;0,0
SET OF 6 HALLOWEEN GHOST T-LIGHTS;544;0;256,09;0,0;0,0;Normal;0,0
SET OF 6 HEART CHOPSTICKS;537;0;819,95;0,0;0,0;Normal;0,0
SET OF 6 HERB TINS SKETCHBOOK;1006;2;3727,52;7,9;0,2;Normal;0,02
SET OF 6 ICE CREAM SKITTLES;16;0;47,2;0,0;0,0;Normal;0,0
SET OF 6 KASHMIR FOLKART BAUBLES;591;58;923,91;95,7;9,81;Normal;9,39
SET OF 6 NATIVITY MAGNETS;1501;0;3112,18;0,0;0,0;Normal;0,0
SET OF 6 RIBBONS COUNTRY STYLE;89;0;283,31;0,0;0,0;Normal;0,0
SET OF 6 RIBBONS PARTY;98;0;291,92;0,0;0,0;Normal;0,0
SET OF 6 RIBBONS PERFECTLY PRETTY;169;0;511,61;0,0;0,0;Normal;0,0
SET OF 6 RIBBONS VINTAGE CHRISTMAS;2783;24;9286,22;69,36;0,86;Normal;0,6
SET OF 6 SNACK LOAF BAKING CASES;2383;10;2095,22;8,3;0,42;Normal;0,03
SET OF 6 SOLDIER SKITTLES;1818;0;7545,29;0,0;0,0;Normal;0,0
SET OF 6 SPICE TINS PANTRY DESIGN;4781;30;20211,51;118,0;0,63;Normal;0,74
SET OF 6 STRAWBERRY CHOPSTICKS;479;0;674,74;0,0;0,0;Normal;0,0
SET OF 6 T-LIGHTS CACTI;857;1;2348,49;2,95;0,12;Normal;0,0
SET OF 6 T-LIGHTS EASTER CHICKS;305;18;920,87;53,1;5,9;Normal;3,13
SET OF 6 T-LIGHTS SANTA;1180;18;3604,2;48,3;1,53;Normal;0,74
SET OF 6 T-LIGHTS SNOWMEN;904;54;2904,08;140,1;5,97;Normal;8,36
SET OF 6 T-LIGHTS TOADSTOOLS;669;0;2011,18;0,0;0,0;Normal;0,0
SET OF 6 T-LIGHTS WEDDING CAKE;248;0;641,64;0,0;0,0;Normal;0,0
SET OF 6 TEA TIME BAKING CASES;3046;25;3784,34;31,25;0,82;Normal;0,26
SET OF 6 VINTAGE NOTELETS KIT;551;0;529,51;0,0;0,0;Normal;0,0
SET OF 60 I LOVE LONDON CAKE CASES;7138;64;3932,9;35,2;0,9;Normal;0,32
SET OF 60 PANTRY DESIGN CAKE CASES;8381;39;4510,49;21,45;0,47;Normal;0,1
SET OF 60 VINTAGE LEAF CAKE CASES;4156;0;2213,16;0,0;0,0;Normal;0,0
SET OF 72 GREEN PAPER DOILIES;42;5;60,9;7,25;11,9;Normal;0,86
SET OF 72 PINK HEART PAPER DOILIES;3081;13;4945,35;18,85;0,42;Normal;0,08
SET OF 72 RETROSPOT PAPER  DOILIES;3235;120;4810,34;154,8;3,71;Normal;5,74
SET OF 72 SKULL PAPER  DOILIES;401;0;590,37;0,0;0,0;Normal;0,0
SET OF 9 BLACK SKULL BALLOONS;1527;10;1346,39;8,5;0,65;Normal;0,06
SET OF 9 HEART SHAPED BALLOONS;1798;12;2301,85;15,0;0,67;Normal;0,1
SET OF PICTURE FRAME  STICKERS;105;0;504,87;0,0;0,0;Normal;0,0
SET OF SALT AND PEPPER TOADSTOOLS;1752;86;2162,64;102,69;4,91;Normal;5,04
SET OF SKULL WALL STICKERS;77;0;221,27;0,0;0,0;Normal;0,0
SET OF TEA COFFEE SUGAR TINS PANTRY;4059;102;20071,07;471,3;2,51;Normal;11,83
SET OF THREE VINTAGE GIFT WRAPS;1;0;1,95;0,0;0,0;Normal;0,0
SET/10 BLUE POLKADOT PARTY CANDLES;1903;25;2392,21;31,25;1,31;Normal;0,41
SET/10 IVORY POLKADOT PARTY CANDLES;711;0;840,84;0,0;0,0;Normal;0,0
SET/10 PINK POLKADOT PARTY CANDLES;2987;25;3730,2;31,25;0,84;Normal;0,26
SET/10 RED POLKADOT PARTY CANDLES;3366;0;4167,73;0,0;0,0;Normal;0,0
SET/12 FUNKY FELT FLOWER PEG IN BAG;224;0;419,01;0,0;0,0;Normal;0,0
SET/12 TAPER CANDLES;535;0;544,69;0,0;0,0;Normal;0,0
SET/2 RED RETROSPOT TEA TOWELS;1763;200;6139,65;550,0;11,34;Normal;62,37
SET/20 FRUIT SALAD PAPER NAPKINS;88;0;143,44;0,0;0,0;Normal;0,0
SET/20 RED RETROSPOT PAPER NAPKINS;9730;12;8552,86;10,2;0,12;Normal;0,01
SET/20 STRAWBERRY PAPER NAPKINS;2216;0;2113,79;0,0;0,0;Normal;0,0
SET/3 CHRISTMAS DECOUPAGE CANDLES;821;0;927,07;0,0;0,0;Normal;0,0
SET/3 DECOUPAGE STACKING TINS;88;3;506,37;14,85;3,41;Normal;0,51
SET/3 FLORAL GARDEN TOOLS IN BAG;3;0;23,85;0,0;0,0;Normal;0,0
SET/3 OCEAN SCENT CANDLE JEWEL BOX;369;0;1727,87;0,0;0,0;Normal;0,0
SET/3 POLKADOT STACKING TINS;42;0;228,15;0,0;0,0;Normal;0,0
SET/3 POT PLANT CANDLES;62;14;391,76;75,3;22,58;Normal;17,0
SET/3 RABBITS FLOWER SKIPPPING ROPE;107;0;96,41;0,0;0,0;Normal;0,0
SET/3 RED GINGHAM ROSE STORAGE BOX;2657;39;10552,68;136,53;1,47;Normal;2,01
SET/3 ROSE CANDLE IN JEWELLED BOX;379;7;1818,39;29,75;1,85;Normal;0,55
SET/3 TALL GLASS CANDLE HOLDER PINK;4;0;89,22;0,0;0,0;Normal;0,0
SET/3 VANILLA SCENTED CANDLE IN BOX;672;130;2957,0;499,7;19,35;Normal;96,69
SET/4 2 TONE EGG SHAPE MIXING BOWLS;1;0;9,95;0,0;0,0;Normal;0,0
SET/4 BADGES BALLOON GIRL;328;0;411,84;0,0;0,0;Normal;0,0
SET/4 BADGES BEETLES;229;0;303,19;0,0;0,0;Normal;0,0
SET/4 BADGES CUTE CREATURES;231;0;302,72;0,0;0,0;Normal;0,0
SET/4 BADGES DOGS;298;0;395,01;0,0;0,0;Normal;0,0
SET/4 BIRD MIRROR MAGNETS;437;27;174,95;7,83;6,18;Normal;0,48
SET/4 BLUE FLOWER CANDLES IN BOWL;137;4;229,47;6,6;2,92;Normal;0,19
SET/4 BUTTERFLY MIRROR MAGNETS;79;0;39,2;0,0;0,0;Normal;0,0
SET/4 COLOURFUL MIXING BOWLS;47;0;459,41;0,0;0,0;Normal;0,0
SET/4 DAISY MIRROR MAGNETS;420;19;171,28;7,32;4,52;Normal;0,33
SET/4 GARDEN ROSE DINNER CANDLE;7;0;11,55;0,0;0,0;Normal;0,0
SET/4 MODERN VINTAGE COTTON NAPKINS;77;2;86,75;5,9;2,6;Normal;0,15
SET/4 RED MINI ROSE CANDLE IN BOWL;710;1;1086,33;1,65;0,14;Normal;0,0
SET/4 SKULL BADGES;764;12;892,5;15,0;1,57;Normal;0,24
SET/4 SPRING FLOWER DECORATION;1088;8;1317,68;6,0;0,74;Normal;0,04
SET/4 WHITE RETRO STORAGE CUBES;375;35;14935,3;1248,25;9,33;Normal;116,46
SET/5 RED RETROSPOT LID GLASS BOWLS;5084;78;14819,4;215,7;1,53;Normal;3,3
SET/6 BEAD COASTERS GAUZE BAG GOLD;500;0;277,32;0,0;0,0;Normal;0,0
SET/6 BLACK BIRD T-LIGHT CANDLES;215;1;316,75;2,1;0,47;Normal;0,01
SET/6 COLLAGE PAPER CUPS;1998;0;640,3;0,0;0,0;Normal;0,0
SET/6 COLLAGE PAPER PLATES;1905;24;1060,43;9,36;1,26;Normal;0,12
SET/6 EAU DE NIL BIRD T-LIGHTS;323;0;583,33;0,0;0,0;Normal;0,0
SET/6 FROG PRINCE T-LIGHT CANDLES;449;5;718,52;12,75;1,11;Normal;0,14
SET/6 FRUIT SALAD  PAPER PLATES;887;0;413,93;0,0;0,0;Normal;0,0
SET/6 FRUIT SALAD PAPER CUPS;1150;12;294,84;2,28;1,04;Normal;0,02
SET/6 GREEN SPRING PAPER CUPS;221;0;46,71;0,0;0,0;Normal;0,0
SET/6 IVORY BIRD T-LIGHT CANDLES;1;0;2,1;0,0;0,0;Normal;0,0
SET/6 PINK  BUTTERFLY T-LIGHTS;2070;3;3953,25;6,3;0,14;Normal;0,01
SET/6 PINK BIRD T-LIGHT CANDLES;427;2;761,59;1,7;0,47;Normal;0,01
SET/6 POSIES PAPER CUPS;81;0;35,57;0,0;0,0;Normal;0,0
SET/6 POSIES PAPER PLATES;65;0;67,73;0,0;0,0;Normal;0,0
SET/6 PURPLE BUTTERFLY T-LIGHTS;884;0;2136,8;0,0;0,0;Normal;0,0
SET/6 RED SPOTTY PAPER CUPS;4419;0;3147,04;0,0;0,0;Normal;0,0
SET/6 RED SPOTTY PAPER PLATES;6076;0;4840,04;0,0;0,0;Normal;0,0
SET/6 TURQUOISE BUTTERFLY T-LIGHTS;1257;0;2514,82;0,0;0,0;Normal;0,0
SET/9 CHRISTMAS T-LIGHTS SCENTED;25;0;31,25;0,0;0,0;Normal;0,0
SET3 BOOK BOX GREEN GINGHAM FLOWER;993;35;4302,13;136,25;3,52;Normal;4,8
SEWING BOX RETROSPOT DESIGN;163;16;1690,84;239,2;9,82;Normal;23,49
SEWING SUSAN 21 NEEDLE SET;870;1;839,67;0,85;0,11;Normal;0,0
SHELF WITH 4 HOOKS HOME SWEET HOME;451;2;2346,84;12,5;0,44;Normal;0,06
SHOE SHINE BOX;53;2;593,27;19,9;3,77;Normal;0,75
SHOWROOM;0;5;0,0;0,0;;Suspicious Return;
SILICON CUBE 25W, BLUE;11;0;4,62;0,0;0,0;Normal;0,0
SILICON STAR BULB  BLUE;18;0;7,56;0,0;0,0;Normal;0,0
SILK PURSE BABUSHKA BLUE;138;0;472,56;0,0;0,0;Normal;0,0
SILK PURSE BABUSHKA PINK;291;0;916,35;0,0;0,0;Normal;0,0
SILK PURSE BABUSHKA RED;145;0;537,05;0,0;0,0;Normal;0,0
SILVER  CANDLEPOT JARDIN;24;0;90,0;0,0;0,0;Normal;0,0
SILVER 2 STRAND NECKLACE-LEAF CHARM;2;0;15,0;0,0;0,0;Normal;0,0
SILVER AND BLACK ORBIT NECKLACE;2;0;13,35;0,0;0,0;Normal;0,0
SILVER APERITIF GLASS;276;0;128,4;0,0;0,0;Normal;0,0
SILVER BELLS TABLE DECORATION;1893;1;2428,37;1,25;0,05;Normal;0,0
SILVER BLACK ORBIT BRACELET;13;0;68,73;0,0;0,0;Normal;0,0
SILVER BLACK ORBIT DROP EARRINGS;8;0;33,4;0,0;0,0;Normal;0,0
SILVER BOOK MARK WITH BEADS;161;0;182,25;0,0;0,0;Normal;0,0
SILVER BRACELET W PASTEL FLOWER;33;2;252,18;15,0;6,06;Normal;0,91
SILVER CHRISTMAS TREE BAUBLE STAND;33;4;560,4;67,8;12,12;Normal;8,22
SILVER DIAMANTE PEN IN GIFT BOX;175;0;558,83;0,0;0,0;Normal;0,0
SILVER DISCO HANDBAG;129;0;272,99;0,0;0,0;Normal;0,0
SILVER DROP EARRINGS WITH FLOWER;18;0;67,36;0,0;0,0;Normal;0,0
SILVER FABRIC MIRROR;441;0;212,72;0,0;0,0;Normal;0,0
SILVER FISHING GNOME;52;2;419,52;13,9;3,85;Normal;0,54
SILVER FLOWR PINK SHELL NECKLACE;53;0;342,76;0,0;0,0;Normal;0,0
SILVER GLASS T-LIGHT SET;201;3;525,75;8,85;1,49;Normal;0,13
SILVER GLITTER FLOWER VOTIVE HOLDER;1409;0;426,07;0,0;0,0;Normal;0,0
SILVER HANGING T-LIGHT HOLDER;4753;263;7563,24;412,35;5,53;Normal;22,8
SILVER HEARTS TABLE DECORATION;1082;0;931,51;0,0;0,0;Normal;0,0
SILVER HOOP EARRINGS WITH FLOWER;24;0;144,2;0,0;0,0;Normal;0,0
SILVER JEWELLED MIRROR TRINKET TRAY;92;0;665,38;0,0;0,0;Normal;0,0
SILVER LARIAT 40CM;26;0;163,82;0,0;0,0;Normal;0,0
SILVER LARIAT BLACK STONE EARRINGS;16;0;67,87;0,0;0,0;Normal;0,0
SILVER LATTICE VANILLA CANDLE POT;17;0;63,75;0,0;0,0;Normal;0,0
SILVER LOOKING MIRROR;5;0;24,75;0,0;0,0;Normal;0,0
SILVER M.O.P ORBIT BRACELET;36;0;187,19;0,0;0,0;Normal;0,0
SILVER M.O.P ORBIT DROP EARRINGS;44;0;184,83;0,0;0,0;Normal;0,0
SILVER M.O.P. ORBIT NECKLACE;11;0;54,8;0,0;0,0;Normal;0,0
SILVER MINI TAPE MEASURE;158;0;271,22;0,0;0,0;Normal;0,0
SILVER MUG BONE CHINA TREE OF LIFE;1084;17;1311,93;28,7;1,57;Normal;0,45
SILVER OVAL SHAPE TRINKET BOX;21;0;182,0;0,0;0,0;Normal;0,0
SILVER PHOTO FRAME;136;1;409,83;2,1;0,74;Normal;0,02
SILVER PLATE CANDLE BOWL SMALL;336;0;1065,88;0,0;0,0;Normal;0,0
SILVER RECORD COVER FRAME;365;0;1649,64;0,0;0,0;Normal;0,0
SILVER ROCCOCO CHANDELIER;12;1;444,42;29,95;8,33;Normal;2,49
SILVER ROCOCO CANDLE STICK;146;15;340,7;37,25;10,27;Normal;3,83
SILVER STANDING GNOME;32;0;166,36;0,0;0,0;Normal;0,0
SILVER STARS TABLE DECORATION;1651;0;1440,07;0,0;0,0;Normal;0,0
SILVER T-LIGHT SETTING;141;37;910,79;220,15;26,24;Normal;57,77
SILVER TEDDY BEAR;51;0;195,97;0,0;0,0;Normal;0,0
SILVER VANILLA  FLOWER CANDLE POT;87;0;339,87;0,0;0,0;Normal;0,0
SILVER/AMETHYST DROP EARRINGS LEAF;20;0;58,43;0,0;0,0;Normal;0,0
SILVER/BLACK ORBIT NECKLACE;3;0;29,85;0,0;0,0;Normal;0,0
SILVER/BLACK PENDANT ORBIT NECKLACE;3;0;24,96;0,0;0,0;Normal;0,0
SILVER/CRYSTAL DROP EARRINGS W LEAF;16;0;46,76;0,0;0,0;Normal;0,0
SILVER/M.O.P PENDANT ORBIT NECKLACE;17;0;105,71;0,0;0,0;Normal;0,0
SILVER/MOP ORBIT NECKLACE;16;0;162,79;0,0;0,0;Normal;0,0
SILVER/NAT SHELL NECKLACE W PENDANT;5;0;28,76;0,0;0,0;Normal;0,0
SILVER/NATURAL SHELL NECKLACE;8;0;68,0;0,0;0,0;Normal;0,0
SINGLE ANTIQUE ROSE HOOK IVORY;1685;15;2486,85;21,75;0,89;Normal;0,19
SINGLE HEART ZINC T-LIGHT HOLDER;5534;12;6180,27;11,4;0,22;Normal;0,03
SINGLE WIRE HOOK IVORY HEART;848;12;1186,56;17,4;1,42;Normal;0,25
SINGLE WIRE HOOK PINK HEART;403;12;512,75;17,4;2,98;Normal;0,52
SIX DRAWER OFFICE TIDY;62;0;586,94;0,0;0,0;Normal;0,0
SKETCHBOOK MAGNETIC SHOPPING LIST;1003;15;1626,75;21,75;1,5;Normal;0,33
SKULL AND CROSSBONES  GARLAND;671;0;1060,25;0,0;0,0;Normal;0,0
SKULL DESIGN TV DINNER TRAY;307;0;1545,52;0,0;0,0;Normal;0,0
SKULL LUNCH BOX WITH CUTLERY;1274;4;3553,87;10,2;0,31;Normal;0,03
SKULL SHOULDER BAG;2241;0;4203,28;0,0;0,0;Normal;0,0
SKULLS  DESIGN  COTTON TOTE BAG;198;12;469,17;27,0;6,06;Normal;1,64
SKULLS  STICKERS;978;0;890,88;0,0;0,0;Normal;0,0
SKULLS  WATER TRANSFER TATTOOS;1491;0;1318,83;0,0;0,0;Normal;0,0
SKULLS AND CROSSBONES WRAP;5525;25;2240,5;10,5;0,45;Normal;0,05
SKULLS DESIGN FLANNEL;287;12;313,01;10,2;4,18;Normal;0,43
SKULLS GREETING CARD;1891;0;778,89;0,0;0,0;Normal;0,0
SKULLS SQUARE TISSUE BOX;541;0;272,22;0,0;0,0;Normal;0,0
SKULLS STORAGE BOX LARGE;81;0;302,79;0,0;0,0;Normal;0,0
SKULLS STORAGE BOX SMALL;73;3;208,14;6,3;4,11;Normal;0,26
SKULLS TAPE;610;0;212,15;0,0;0,0;Normal;0,0
SKULLS WRITING SET;852;0;1464,33;0,0;0,0;Normal;0,0
SLATE TILE NATURAL HANGING;1438;0;2172,64;0,0;0,0;Normal;0,0
SLEEPING CAT ERASERS;4569;60;959,31;12,6;1,31;Normal;0,17
SMALL APOTHECARY MEASURING JAR;58;0;453,7;0,0;0,0;Normal;0,0
SMALL BLUE PROVENCAL CERAMIC BALL;50;0;84,14;0,0;0,0;Normal;0,0
SMALL BONNE JAM JAR  T-LIGHT HOLDER;398;30;758,24;62,4;7,54;Normal;4,7
SMALL CAMPHOR WOOD FIELD  MUSHROOM;115;0;205,78;0,0;0,0;Normal;0,0
SMALL CERAMIC TOP STORAGE JAR;5078;510;3904,94;352,74;10,04;Normal;35,42
SMALL CHINESE STYLE SCISSOR;13028;0;4209,76;0,0;0,0;Normal;0,0
SMALL CHOCOLATES PINK BOWL;1780;0;917,06;0,0;0,0;Normal;0,0
SMALL CHUNKY GLASS ROMAN  BOWL;160;1;217,68;2,95;0,62;Normal;0,02
SMALL DECO JEWELLERY STAND;166;1;1408,96;8,25;0,6;Normal;0,05
SMALL DOLLY MIX DESIGN ORANGE BOWL;4832;16;2481,83;6,72;0,33;Normal;0,02
SMALL FOLKART STAR CHRISTMAS DEC;1245;0;350,48;0,0;0,0;Normal;0,0
SMALL GLASS HEART TRINKET POT;4156;138;9609,98;268,05;3,32;Normal;8,9
SMALL GLASS SUNDAE DISH CLEAR;709;39;934,97;20,07;5,5;Normal;1,1
SMALL HAMMERED SILVER CANDLEPOT;343;0;1054,81;0,0;0,0;Normal;0,0
SMALL HANGING IVORY/RED WOOD BIRD;2417;24;1200,25;10,08;0,99;Normal;0,1
SMALL HEART FLOWERS HOOK;1690;1;1480,1;0,85;0,06;Normal;0,0
SMALL HEART MEASURING SPOONS;2276;29;2310,41;24,13;1,27;Normal;0,31
SMALL IVORY HEART WALL ORGANISER;1010;4;5090,7;23,0;0,4;Normal;0,09
SMALL JEWELLERY STAND;16;0;132,0;0,0;0,0;Normal;0,0
SMALL KITCHEN FLOWER POTS PLAQUE;42;0;275,9;0,0;0,0;Normal;0,0
SMALL LICORICE DES PINK BOWL;567;0;427,2;0,0;0,0;Normal;0,0
SMALL MARSHMALLOWS PINK BOWL;3487;16;1875,02;6,72;0,46;Normal;0,03
SMALL MEDINA STAMPED METAL BOWL;375;0;351,1;0,0;0,0;Normal;0,0
SMALL PARISIENNE HEART PHOTO FRAME;871;3;2089,6;7,47;0,34;Normal;0,03
SMALL PARLOUR FRAME;6;0;17,34;0,0;0,0;Normal;0,0
SMALL PARLOUR PICTURE FRAME;153;0;427,77;0,0;0,0;Normal;0,0
SMALL PINK GLASS SUNDAE DISH;897;68;443,8;28,56;7,58;Normal;2,16
SMALL PINK MAGIC CHRISTMAS TREE;561;0;244,82;0,0;0,0;Normal;0,0
SMALL POLKADOT CHOCOLATE GIFT BAG;911;0;792,44;0,0;0,0;Normal;0,0
SMALL POP BOX FUNKY MONKEY;240;0;331,48;0,0;0,0;Normal;0,0
SMALL POP BOX,FUNKY MONKEY;152;0;216,47;0,0;0,0;Normal;0,0
SMALL POPCORN HOLDER;18605;42;15824,4;35,44;0,23;Normal;0,08
SMALL PURPLE BABUSHKA NOTEBOOK;1315;0;1004,64;0,0;0,0;Normal;0,0
SMALL RED BABUSHKA NOTEBOOK;1577;0;1165,45;0,0;0,0;Normal;0,0
SMALL RED RETROSPOT MUG IN BOX;776;296;1743,96;336,54;38,14;Normal;128,36
SMALL RED RETROSPOT WINDMILL;2427;15;2993,41;18,75;0,62;Normal;0,12
SMALL REGAL  SILVER CANDLEPOT;301;0;822,63;0,0;0,0;Normal;0,0
SMALL ROUND CUT GLASS CANDLESTICK;160;0;755,44;0,0;0,0;Normal;0,0
SMALL SILVER FLOWER CANDLE POT;278;0;839,98;0,0;0,0;Normal;0,0
SMALL SILVER TRELLIS CANDLEPOT;200;0;601,6;0,0;0,0;Normal;0,0
SMALL SINGLE FLAME CANDLE HOLDER;33;0;11,55;0,0;0,0;Normal;0,0
SMALL SKULL WINDMILL;341;12;484,33;15,0;3,52;Normal;0,53
SMALL SQUARE CUT GLASS CANDLESTICK;179;0;1066,94;0,0;0,0;Normal;0,0
SMALL STRIPES CHOCOLATE GIFT BAG;419;0;294,35;0,0;0,0;Normal;0,0
SMALL TAHITI BEACH BAG;4;1;18,6;3,81;25,0;Normal;0,95
SMALL TALL CAMPHOR WOOD TOADSTOOL;130;0;198,09;0,0;0,0;Normal;0,0
SMALL WHITE HEART OF WICKER;4590;39;8230,72;64,35;0,85;Normal;0,55
SMALL WHITE RETROSPOT MUG IN BOX;633;283;1037,26;169,25;44,71;Normal;75,67
SMALL WHITE/PINK ROSE ART FLOWER;113;2;127,57;2,5;1,77;Normal;0,04
SMALL YELLOW BABUSHKA NOTEBOOK;851;0;654,34;0,0;0,0;Normal;0,0
SMALL ZINC HEART WALL ORGANISER;1541;0;5416,18;0,0;0,0;Normal;0,0
SMALL ZINC/GLASS CANDLEHOLDER;53;0;78,93;0,0;0,0;Normal;0,0
SMALLFOLKART BAUBLE CHRISTMAS DEC;592;0;343,57;0,0;0,0;Normal;0,0
SMASHED;0;350;0,0;0,0;;Suspicious Return;
SMOKEY GREY COLOUR D.O.F. GLASS;507;0;161,43;0,0;0,0;Normal;0,0
SMOKEY GREY COLOUR GLASS;192;0;72,0;0,0;0,0;Normal;0,0
SNACK TRAY HAPPY FOREST;93;0;190,07;0,0;0,0;Normal;0,0
SNACK TRAY I LOVE LONDON;146;0;313,9;0,0;0,0;Normal;0,0
SNACK TRAY PAISLEY PARK;123;0;272,55;0,0;0,0;Normal;0,0
SNACK TRAY RED GINGHAM;44;0;94,52;0,0;0,0;Normal;0,0
SNACK TRAY RED VINTAGE DOILY;166;0;337,64;0,0;0,0;Normal;0,0
SNOWFLAKE PORTABLE TABLE LIGHT;478;0;1407,2;0,0;0,0;Normal;0,0
SNOWSTORM PHOTO FRAME FRIDGE MAGNET;255;3;227,79;2,55;1,18;Normal;0,03
SOAP DISH BROCANTE;418;13;1259,58;38,35;3,11;Normal;1,19
SOFT PINK ROSE TOWEL;261;0;897,03;0,0;0,0;Normal;0,0
SOLD AS 1;0;684;0,0;0,0;;Suspicious Return;
SOLD AS 22467;0;25;0,0;0,0;;Suspicious Return;
SOLDIERS EGG CUP;8969;112;10728,31;132,78;1,25;Normal;1,66
SOMBRERO;4397;0;5681,75;0,0;0,0;Normal;0,0
SPACE BOY CHILDRENS CUP;19;0;24,96;0,0;0,0;Normal;0,0
SPACE CADET BLACK;43;0;52,99;0,0;0,0;Normal;0,0
SPACE CADET RED;130;0;158,45;0,0;0,0;Normal;0,0
SPACE CADET WHITE;88;0;106,53;0,0;0,0;Normal;0,0
SPACE FROG;154;0;208,52;0,0;0,0;Normal;0,0
SPACE OWL;247;0;305,75;0,0;0,0;Normal;0,0
SPACEBOY BABY GIFT SET;229;6;3602,2;101,7;2,62;Normal;2,66
SPACEBOY BEAKER;863;6;1144,09;7,5;0,7;Normal;0,05
SPACEBOY BIRTHDAY CARD;4921;0;2156,37;0,0;0,0;Normal;0,0
SPACEBOY CHILDRENS BOWL;1037;0;1293,1;0,0;0,0;Normal;0,0
SPACEBOY CHILDRENS CUP;882;9;1212,77;11,25;1,02;Normal;0,11
SPACEBOY CHILDRENS EGG CUP;879;1;1218,38;1,25;0,11;Normal;0,0
SPACEBOY GIFT WRAP;4902;75;2034,84;31,5;1,53;Normal;0,48
SPACEBOY LUNCH BOX;5884;52;11269,67;88,8;0,88;Normal;0,78
SPACEBOY MINI BACKPACK;511;2;2384,89;8,3;0,39;Normal;0,03
SPACEBOY MINI RUCKSACK;8;0;33,2;0,0;0,0;Normal;0,0
SPACEBOY ROCKET LOLLY MAKERS;246;0;665,43;0,0;0,0;Normal;0,0
SPACEBOY TV DINNER TRAY;176;0;1151,32;0,0;0,0;Normal;0,0
SPACEBOY WALL ART;300;0;863,4;0,0;0,0;Normal;0,0
SPOTS ON RED BOOKCOVER TAPE;16;0;6,72;0,0;0,0;Normal;0,0
SPOTTED WHITE NATURAL SEED NECKLACE;36;0;36,0;0,0;0,0;Normal;0,0
SPOTTY BUNTING;7284;108;37098,83;473,71;1,48;Normal;7,01
SPOTTY PINK DUCK DOORSTOP;263;2;1203,11;8,5;0,76;Normal;0,06
SPRIG LAVENDER ARTIFICIAL FLOWER;224;60;160,48;35,16;26,79;Normal;9,42
SQUARE CHERRY BLOSSOM CABINET;121;20;671,95;119,0;16,53;Normal;19,67
SQUARE FLOOR CUSHION VINTAGE RED;73;0;687,95;0,0;0,0;Normal;0,0
SQUARE METAL CANDLEHOLDER BASE;52;0;36,52;0,0;0,0;Normal;0,0
SQUARE MINI PORTRAIT FRAME;266;0;534,72;0,0;0,0;Normal;0,0
SQUARECUSHION COVER PINK UNION FLAG;52;0;371,34;0,0;0,0;Normal;0,0
SQUARECUSHION COVER PINK UNION JACK;171;0;567,73;0,0;0,0;Normal;0,0
ST GEORGE SET OF 10 PARTY LIGHTS;2;0;5,9;0,0;0,0;Normal;0,0
ST TROPEZ NECKLACE;45;0;224,12;0,0;0,0;Normal;0,0
STANDING FAIRY POLE SUPPORT;288;0;235,44;0,0;0,0;Normal;0,0
STAR  T-LIGHT HOLDER;135;0;236,88;0,0;0,0;Normal;0,0
STAR DECORATION PAINTED ZINC;3993;21;1080,57;12,27;0,53;Normal;0,07
STAR DECORATION RUSTIC;2406;48;1114,29;20,16;2,0;Normal;0,4
STAR PORTABLE TABLE LIGHT;294;9;872,9;26,55;3,06;Normal;0,81
STAR T-LIGHT HOLDER WILLIE WINKIE;1103;3;1877,95;4,95;0,27;Normal;0,01
